address,price,bedrooms,bathrooms,property_type,area,county,features,date_of_construction
"8 Oak View, Ballacollig, Mountmellick, Co. Laois, R32Y227",230000,3,3,Semi-D,mountmellick-laois,Laois,"Double drive to front, Overlooking green to front, Double glazed windows, Concrete patio to rear, Sunny South facing garden, Attic converted – suit as home office / Storage",2006
"4 The Terrace, Borrisokane, Nenagh, Co. Tipperary, E45XK53",565000,5,3,Semi-D,nenagh-tipperary,Tipperary,"Stunning period property., Original features., Converted Stone coach house offering additional accommodation / workspace or opportunity to rent out., 4/5 bedroom., In excellent condition., Oil fired Aga range., Detached garage to the rear of the site., Stunning gardens., Electric gates.",0
"FORTH MOUNTAIN STUD, The Cools, Barntown, Co. Wexford, Y35YP57",0,4,5,Detached,barntown-wexford,Wexford,"71 acres of lush green farmland., 31 spacious stables, lunging & all weather jumping arena also cross country., Spacious car park for lorries & horse boxes., Large indoor riding arena (7 span) and 2 fully equipped tack rooms., Residence is very tastefully decorated and presented., Conveniently located only a five minute drive to the N11/N25 & just a 10km to Wexford town., Fantastic opportunity Not to be Missed.",2003
"85 Westbrook, Ballymoneen Road, Knocknacarra, Co. Galway, H91DCR9",585000,4,3,Detached,knocknacarra-galway,Galway,"Large detached residence, Good condition, Off-street parking, Popular residential location, Cul-de-sac setting, Well serviced for local amenities",1993
"209a Windmill Road, Crumlin, Dublin 12, D12Y3C7",450000,3,2,Detached,crumlin-dublin,Dublin,"Modern Detached property, Modern kitchen recently installed, Extra insulation fitted, Gas fired central heating, Three bedrooms, DG PVC Windows, Large back garden, Close to City Centre",2005
"12 Cashelmara, Knocknacarra, Co. Galway, H91NDE0",875000,5,5,Detached,knocknacarra-galway,Galway,"Exceptional detached residence, Turn-key condition, B3 rating, Abundance of accommodation & reception spaces, Plentiful off-street parking, Sought after residentila location, Elevated position with rear views of Rusheen Bay, Well serviced for local amenities & public transport, Close proximity to popular outdoor landmarks, Walking distance to Salthill Promenade & Blackrock Diving Tower",1994
"8 Sunnyside, Ballypatrick, Ballypatrick, Co. Tipperary, E91W9P8",440000,6,4,Detached,ballypatrick-tipperary,Tipperary,"Double glazed windows, Oil fired central heating & Solid fuel stove, 6 Bedrooms & 4 Bathrooms, Built 2007, Mains Water",2006
"Misty Moorings, Cappagh, Kinsale, Co. Cork, P17HW73",1600000,5,4,Detached,kinsale-cork,Cork,"Beautiful Four Bed Detached Home, Approx. 185 sq m / 1,989 sq ft, Site Approx. 0.43 Ha / 1.08 acres, Private mooring, River &amp; harbour views, Planning obtained to join house to apartment, Detached one bed apartment (Approx. 48 sq m/527 sq ft), Separate studio space (Approx. 35 sq m/380 sq ft), Private deck &amp; Infinity Pool, GFCH/OFCH/CCTV",1990
"Dundela House, Golf Links Road, Castletroy, Co. Limerick, V94W0YF",850000,4,4,Detached,castletroy-limerick,Limerick,"Ample Gated Parking On Site, Close to excellent Primary & Secondary Schools, Tastefully presented interior, Close to Main National Road Network, Close To University Of Limerick, Popular Residential Location",1978
"60 Garranbawn, Murroe, Co. Limerick, V94NW5D",290000,3,3,Semi-D,murroe-limerick,Limerick,"Located in a quiet cul de sac, Master Bedroom with Ensuite Bathroom, Close to All Essential Amenities, Off Street Parking",2006
